region,year,n
Ukraine,2011,45706100
Uruguay,2011,3368934
Kosovo,2011,1791000
Albania,2012,2900401
Andorra,2012,82427
Austria,2012,8429991
Belgium,2012,11106932
Bulgaria,2012,7305888
Bosnia and Herzegovina,2012,3604972
Switzerland,2012,7996861
Cyprus,2012,1135046
Czech Republic,2012,10510785
Germany,2012,80425823
Denmark,2012,5591572
Spain,2012,46773055
Estonia,2012,1322696
Finland,2012,5413971
France,2012,65659809
United Kingdom,2012,63700300
Gibraltar,2012,33646
Greece,2012,11045011
Croatia,2012,4267558
Hungary,2012,9920362
Ireland,2012,4599533
Iceland,2012,320716
Italy,2012,59539717
Liechtenstein,2012,36615
Lithuania,2012,2987773
Luxembourg,2012,530946
Latvia,2012,2034319
Monaco,2012,36460
Moldova,2012,3559519
North Macedonia,2012,2074278
Malta,2012,420028
Montenegro,2012,620601
Netherlands,2012,16754962
Norway,2012,5018573
Poland,2012,38063164
Portugal,2012,10514844
Romania,2012,20058035
Serbia,2012,7199077
Slovak Republic,2012,5407579
Slovenia,2012,2057159
Sweden,2012,9519374
Sint Maarten (Dutch part),2012,34640
Ukraine,2012,45593300
Uruguay,2012,3378974
Kosovo,2012,1805200
Albania,2013,2895092
Andorra,2013,80774
Austria,2013,8479823
Belgium,2013,11159407
Bulgaria,2013,7265115
Bosnia and Herzegovina,2013,3542605
Switzerland,2013,8089346
Cyprus,2013,1143866
Czech Republic,2013,10514272
Germany,2013,80645605
Denmark,2013,5614932
Spain,2013,46620045
Estonia,2013,1317997
Finland,2013,5438972
France,2013,65998687
United Kingdom,2013,64128226
Gibraltar,2013,33692
Greece,2013,10965211
Croatia,2013,4255689
Hungary,2013,9893082
Ireland,2013,4623816
Iceland,2013,323764
Italy,2013,60233948
Liechtenstein,2013,36934
Lithuania,2013,2957689
Luxembourg,2013,543360
Latvia,2013,2012647
Monaco,2013,36901
Moldova,2013,3558566
North Macedonia,2013,2076067
Malta,2013,425967
Montenegro,2013,621207
Netherlands,2013,16804432
Norway,2013,5079623
Poland,2013,38040196
Portugal,2013,10457295
Romania,2013,19983693
Serbia,2013,7164132
Slovak Republic,2013,5413393
Slovenia,2013,2059953
Sweden,2013,9600379
Sint Maarten (Dutch part),2013,36607
Ukraine,2013,45489600
Uruguay,2013,3389439
Kosovo,2013,1824100
Albania,2014,2889104
Andorra,2014,79213
Austria,2014,8546356
Belgium,2014,11209057
Bulgaria,2014,7223938
Bosnia and Herzegovina,2014,3482104
Switzerland,2014,8188649
Cyprus,2014,1152285
Czech Republic,2014,10525347
Germany,2014,80982500
Denmark,2014,5643475
Spain,2014,46480882
Estonia,2014,1314545
Finland,2014,5461512
France,2014,66316100
United Kingdom,2014,64613160
Gibraltar,2014,33725
Greece,2014,10892413
Croatia,2014,4238389
Hungary,2014,9866468
Ireland,2014,4657740
Iceland,2014,327386
Italy,2014,60789140
Liechtenstein,2014,37223
Lithuania,2014,2932367
Luxembourg,2014,556319
Latvia,2014,1993782
Monaco,2014,37322
Moldova,2014,3556397
North Macedonia,2014,2077775
Malta,2014,434558
Montenegro,2014,621810
Netherlands,2014,16865008
Norway,2014,5137232
Poland,2014,38011735
Portugal,2014,10401062
Romania,2014,19908979
Serbia,2014,7130576
Slovak Republic,2014,5418649
Slovenia,2014,2061980
Sweden,2014,9696110
Sint Maarten (Dutch part),2014,37685
Ukraine,2014,45271947
Uruguay,2014,3400434
Kosovo,2014,1821800
Albania,2015,2880703
Andorra,2015,78011
Austria,2015,8642699
Belgium,2015,11274196
Bulgaria,2015,7177991
Bosnia and Herzegovina,2015,3429361
Switzerland,2015,8282396
Cyprus,2015,1160985
Czech Republic,2015,10546059
Germany,2015,81686611
Denmark,2015,5683483
Spain,2015,46444832
Estonia,2015,1315407
Finland,2015,5479531
France,2015,66593366
United Kingdom,2015,65128861
Gibraltar,2015,33736
Greece,2015,10820883
Croatia,2015,4203604
Hungary,2015,9843028
Ireland,2015,4701957
Iceland,2015,330815
Italy,2015,60730582
Liechtenstein,2015,37470
Lithuania,2015,2904910
Luxembourg,2015,569604
Latvia,2015,1977527
Monaco,2015,37718
Moldova,2015,3554108
North Macedonia,2015,2079328
Malta,2015,445053
Montenegro,2015,622159
Netherlands,2015,16939923
Norway,2015,5188607
Poland,2015,37986412
Portugal,2015,10358076
Romania,2015,19815481
Serbia,2015,7095383
Slovak Republic,2015,5423801
Slovenia,2015,2063531
Sweden,2015,9799186
Sint Maarten (Dutch part),2015,38825
Ukraine,2015,45154029
Uruguay,2015,3412009
Kosovo,2015,1801800
Albania,2016,2876101
Andorra,2016,77297
Austria,2016,8736668
Belgium,2016,11331422
Bulgaria,2016,7127822
Bosnia and Herzegovina,2016,3386267
Switzerland,2016,8373338
Cyprus,2016,1170187
Czech Republic,2016,10566332
Germany,2016,82348669
Denmark,2016,5728010
Spain,2016,46483569
Estonia,2016,1315790
Finland,2016,5495303
France,2016,66859768
United Kingdom,2016,65595565
Gibraltar,2016,33737
Greece,2016,10775971
Croatia,2016,4174349
Hungary,2016,9814023
Ireland,2016,4755335
Iceland,2016,335439
Italy,2016,60627498
Liechtenstein,2016,37658
Lithuania,2016,2868231
Luxembourg,2016,582014
Latvia,2016,1959537
Monaco,2016,38070
Moldova,2016,3551954
North Macedonia,2016,2080745
Malta,2016,455356
Montenegro,2016,622303
Netherlands,2016,17030314
Norway,2016,5234519
Poland,2016,37970087
Portugal,2016,10325452
Romania,2016,19702332
Serbia,2016,7058322
Slovak Republic,2016,5430798
Slovenia,2016,2065042
Sweden,2016,9923085
Sint Maarten (Dutch part),2016,39969
Ukraine,2016,45004645
Uruguay,2016,3424132
Kosovo,2016,1816200
Albania,2017,2873457
Andorra,2017,77001
Austria,2017,8797566
Belgium,2017,11375158
Bulgaria,2017,7075947
Bosnia and Herzegovina,2017,3351527
Switzerland,2017,8451840
Cyprus,2017,1179680
Czech Republic,2017,10594438
Germany,2017,82657002
Denmark,2017,5764980
Spain,2017,46593236
Estonia,2017,1317384
Finland,2017,5508214
France,2017,66865144
United Kingdom,2017,66058859
Gibraltar,2017,33728
Greece,2017,10754679
Croatia,2017,4124531
Hungary,2017,9787966
Ireland,2017,4807388
Iceland,2017,343400
Italy,2017,60536709
Liechtenstein,2017,37800
Lithuania,2017,2828403
Luxembourg,2017,596336
Latvia,2017,1942248
Monaco,2017,38392
Moldova,2017,3549196
North Macedonia,2017,2081996
Malta,2017,467999
Montenegro,2017,622373
Netherlands,2017,17131296
Norway,2017,5276968
Poland,2017,37974826
Portugal,2017,10300300
Romania,2017,19587491
Serbia,2017,7020858
Slovak Republic,2017,5439232
Slovenia,2017,2066388
Sweden,2017,10057698
Sint Maarten (Dutch part),2017,40574
Ukraine,2017,44831135
Uruguay,2017,3436646
Kosovo,2017,1830700
